fen,action,score,result
8/3b4/8/8/8/8/8/8 b,"(5, 5)",0
8/3b4/8/3b4/4w3/8/8/8 w,"(4, 4)",0
8/3b4/8/3b4/4w3/8/8/8 b,"(3, 4)",0
8/3b4/8/2wb4/3bw3/8/8/8 w,"(4, 5)",50
8/3b4/8/2wb4/3bw3/8/8/8 b,"(4, 6)",50
8/3b4/3b4/2wb4/3bw3/3w4/8/8 w,"(4, 3)",100,1
2wbw3/1w2bwbw/3wb1bw/w2bw1bb/3w1bw1/3wb2b/1b2wbb1/8 b,"(4, 7)",-50
2wbw3/1w2bwbw/3wb1bw/w2bw1bb/3w1bw1/3wb2b/1b1wwbb1/3b4 w,"(4, 8)",50
2wbw3/1w2bwbw/3wb1bw/w2bw1bb/3w1bw1/3wb2b/1b1wwbb1/3b4 b,"(6, 3)",-50
2wbw3/1w2bwbw/3wbwbw/w2bw1bb/3w1bw1/2bwb2b/1b1wwbb1/3b4 w,"(3, 6)",50
2wbw3/1w2bwbw/3wbwbw/w2bw1bb/3w1bw1/2bwb2b/1b1wwbb1/3b4 b,"(3, 4)",50
2wbw1b1/1w2bwbw/3wbwbw/w1wbw1bb/3w1bw1/2bwb2b/1b1wwbb1/3b4 w,"(7, 1)",100,1
w2b4/5ww1/w4b1b/2bb4/8/8/8/2w4b w,"(4, 4)",0
w2b4/5ww1/w4b1b/2bb4/8/8/8/2w4b b,"(3, 5)",0
w2b4/5ww1/w4b1b/2bb4/2wb4/8/8/2w4b w,"(4, 5)",0
w2b4/5ww1/w4b1b/2bb4/2wb4/8/8/2w4b b,"(4, 6)",-50
w2b4/5ww1/w4b1b/1bbb4/2wb4/3w4/8/2w4b w,"(2, 4)",50
w2b4/5ww1/w4b1b/1bbb4/2wb4/3w4/8/2w4b b,"(1, 4)",-50
w2b4/b4ww1/w4b1b/wbbb4/2wb4/3w4/8/2w4b w,"(1, 2)",50
w2b4/b4ww1/w4b1b/wbbb4/2wb4/3w4/8/2w4b b,"(2, 3)",50
w2b4/b4ww1/ww3b1b/wbbbb3/2wb4/3w4/8/2w4b w,"(5, 4)",100,1
5b1b/b1w1bww1/w3bb1w/w1wbb3/4w3/w3bwbb/1w1b2bw/2w2b2 b,"(1, 5)",-100,-1
8/8/8/8/8/8/8/5b2 b,"(4, 5)",0
8/8/8/8/2bw4/8/8/5b2 w,"(3, 5)",0
8/8/8/8/2bw4/8/8/5b2 b,"(5, 5)",0
8/8/8/2b5/2bww3/8/8/5b2 w,"(3, 4)",0
8/8/8/2b5/2bww3/8/8/5b2 b,"(4, 3)",0
8/8/3w4/2b5/2bww3/3b4/8/5b2 w,"(4, 6)",50
8/8/3w4/2b5/2bww3/3b4/8/5b2 b,"(5, 3)",50
8/8/3ww3/2b5/2bww3/3b4/4b3/5b2 w,"(5, 7)",100,1
w2b4/1b6/1w6/2ww2b1/2bbbbw1/bw6/3w4/1b3w2 w,"(3, 5)",100,1
1w4b1/6w1/8/4b3/1w6/1b6/4w3/1b2b3 w,"(5, 4)",0
1w4b1/6w1/8/4b3/1w6/1b6/4w3/1b2b3 b,"(3, 5)",0
1w4b1/6w1/8/4b3/1wwb4/1b6/4w3/1b2b3 w,"(4, 5)",0
1w4b1/6w1/8/4b3/1wwb4/1b6/4w3/1b2b3 b,"(4, 3)",0
1w4b1/6w1/3w4/4b3/1wwb4/1b1b4/4w3/1b2b3 w,"(4, 6)",0
1w4b1/6w1/3w4/4b3/1wwb4/1b1b4/4w3/1b2b3 b,"(3, 4)",-50
1w4b1/6w1/3w4/2w1b3/1wwb4/bb1b4/4w3/1b2b3 w,"(1, 6)",50
1w4b1/6w1/3w4/2w1b3/1wwb4/bb1b4/4w3/1b2b3 b,"(3, 6)",-50
1w4b1/6w1/2bw4/2w1b3/1wwb4/bbwb4/4w3/1b2b3 w,"(3, 3)",-50
1w4b1/6w1/2bw4/2w1b3/1wwb4/bbwb4/4w3/1b2b3 b,"(3, 7)",-100,-1
2b1b1w1/1w1b3b/www2b1b/4w1wb/wb1wbb2/2w5/w1b5/2b1w2b b,"(2, 7)",-100,-1
8/8/8/2b3wb/8/8/8/8 w,"(3, 4)",0
8/8/8/2b3wb/8/8/8/8 b,"(5, 4)",0
8/8/8/2b1w1wb/2b5/8/8/8 w,"(3, 5)",0
8/8/8/2b1w1wb/2b5/8/8/8 b,"(4, 4)",-50
8/8/8/2bww1wb/2b5/3b4/8/8 w,"(4, 6)",-50
8/8/8/2bww1wb/2b5/3b4/8/8 b,"(6, 4)",-100,-1
b1w5/1w1wwb2/8/w3wb2/1bb5/4b3/1w2wwbb/2b1bbw1 b,"(3, 2)",-100,-1
b7/6w1/8/2bwb3/3b4/8/8/4w3 w,"(3, 4)",0
b7/6w1/8/2bwb3/3b4/8/8/4w3 b,"(4, 3)",0
b7/6w1/3w4/2bwb3/3b4/3b4/8/4w3 w,"(4, 6)",0
b7/6w1/3w4/2bwb3/3b4/3b4/8/4w3 b,"(5, 3)",0
b7/6w1/3ww3/2bwbb2/3b4/3b4/8/4w3 w,"(6, 4)",0
b7/6w1/3ww3/2bwbb2/3b4/3b4/8/4w3 b,"(5, 5)",0
b7/6w1/3ww3/2bwbb2/1b1bw3/3b4/8/4w3 w,"(2, 5)",0
b7/6w1/3ww3/2bwbb2/1b1bw3/3b4/8/4w3 b,"(3, 5)",-50
b7/6w1/3ww3/2bwbb2/1bwbw3/1b1b4/8/4w3 w,"(2, 6)",-50
b7/6w1/3ww3/2bwbb2/1bwbw3/1b1b4/8/4w3 b,"(6, 2)",-100,-1
3b4/bw1wb1w1/2w3b1/w2bw3/w1b2bw1/2b1w3/b1wb1bb1/5w2 b,"(2, 4)",-100,-1
3b2ww/w1b5/6w1/2wb1b2/1bbbb1b1/wwb1b2w/1ww2wbb/5wbw w,"(2, 5)",100,1
3b3w/5b1b/1wbwww1w/b5b1/3b1wb1/w3ww1b/bbb3b1/1w1w1bw1 w,"(3, 3)",50
3b3w/5b1b/1wbwww1w/b5b1/3b1wb1/w3ww1b/bbb3b1/1w1w1bw1 b,"(4, 7)",-50
3b3w/5b1b/1wbwww1w/b5b1/3b1wb1/w3ww1b/bbbw2b1/1wbw1bw1 w,"(3, 8)",50
3b3w/5b1b/1wbwww1w/b5b1/3b1wb1/w3ww1b/bbbw2b1/1wbw1bw1 b,"(6, 4)",-100,-1
2bw3b/3b1w2/wbb1bw2/bbwbw3/2wbb1b1/w1b1wbw1/1wbwb3/1w1w1wwb w,"(3, 3)",100,1
bbbw4/4w3/1w2b1bw/4bwwb/b1wb1b2/1w3wbw/ww1wbwb1/2b1b3 b,"(3, 7)",-100,-1
8/8/8/8/4b3/8/8/8 w,"(5, 5)",0
8/8/8/8/4b3/8/8/8 b,"(4, 4)",0
8/8/3b4/3w4/4b3/8/8/8 w,"(4, 3)",0
8/8/3b4/3w4/4b3/8/8/8 b,"(4, 5)",0
8/8/3b4/3w4/2bwb3/8/8/8 w,"(3, 5)",0
8/8/3b4/3w4/2bwb3/8/8/8 b,"(3, 4)",0
8/8/3b4/2ww1b2/2bwb3/8/8/8 w,"(6, 4)",0
8/8/3b4/2ww1b2/2bwb3/8/8/8 b,"(5, 4)",-50
8/8/3b4/2wwwb2/2bwb3/3b4/8/8 w,"(4, 6)",50
8/8/3b4/2wwwb2/2bwb3/3b4/8/8 b,"(2, 4)",-100,-1
8/6w1/w4wb1/b7/8/b7/1b5w/6b1 b,"(4, 5)",-50
8/6w1/w4wb1/b2b4/3w4/b7/1b5w/6b1 w,"(4, 4)",-50
8/6w1/w4wb1/b2b4/3w4/b7/1b5w/6b1 b,"(5, 4)",-100,-1
3ww1bb/b2w4/bbbb2b1/w1w2w2/3w2ww/wbb1ww1b/2b1b3/2b2bww w,"(1, 3)",100,1
5b2/5b2/8/2w5/8/8/8/8 b,"(4, 4)",0
5b2/5b2/8/2ww4/3b4/8/8/8 w,"(4, 5)",0
5b2/5b2/8/2ww4/3b4/8/8/8 b,"(5, 4)",-50
5b2/5b2/8/1bwww3/3b4/8/8/8 w,"(2, 4)",-50
5b2/5b2/8/1bwww3/3b4/8/8/8 b,"(6, 4)",-100,-1
5w1w/b7/b4w2/w1b1b3/wb1b2bw/1w1wb1wb/5b2/1b4w1 w,"(4, 5)",100,1
8/8/8/4b3/bw6/w2b4/8/8 w,"(5, 4)",0
8/8/8/4b3/bw6/w2b4/8/8 b,"(4, 5)",0
8/8/3b4/4b3/bw1w4/w2b4/8/8 w,"(4, 3)",0
8/8/3b4/4b3/bw1w4/w2b4/8/8 b,"(4, 4)",0
8/8/3b4/3wb3/bw1w4/w2bb3/8/8 w,"(5, 6)",0
8/8/3b4/3wb3/bw1w4/w2bb3/8/8 b,"(5, 5)",-50
8/8/3bb3/3wb3/bw1ww3/w2bb3/8/8 w,"(5, 3)",-50
8/8/3bb3/3wb3/bw1ww3/w2bb3/8/8 b,"(3, 5)",-100,-1
1w3w2/8/8/b3b3/1bwb4/2b5/2w5/2w4b w,"(3, 6)",50
1w3w2/8/8/b3b3/1bwb4/2b5/2w5/2w4b b,"(2, 7)",50
1w3w2/8/8/b3b3/1bwb4/2b5/1wwb4/2w4b w,"(4, 7)",100,1
b1b4w/wb2b3/2w1b2w/1w2w1b1/4bb2/2b3w1/2w2w2/2b5 w,"(5, 5)",1
b1b4w/wb2b3/2w1b2w/1w2w1b1/4bb2/2b3w1/2w2w2/2b5 b,"(4, 4)",-50
b1b4w/wb2b3/2w1b2w/1w1ww1b1/4bb2/2bb2w1/2w2w2/2b5 w,"(4, 6)",-50
b1b4w/wb2b3/2w1b2w/1w1ww1b1/4bb2/2bb2w1/2w2w2/2b5 b,"(3, 4)",-100,-1
6w1/b3b3/w7/b5w1/w3bb2/1w6/4b3/8 b,"(3, 4)",0
6w1/b3b3/w7/b1w1b1w1/w3bb2/1w6/4b3/8 w,"(5, 4)",50
6w1/b3b3/w7/b1w1b1w1/w3bb2/1w6/4b3/8 b,"(5, 3)",50
6w1/b3b3/w3w3/b1w1b1w1/w3bb2/1w2b3/4b3/8 w,"(5, 6)",100,1
bb6/2b1w3/1wwb1w2/7w/1b5w/1b4b1/8/8 b,"(5, 4)",-50
bb6/2b1w3/1wwb1w2/4w2w/1b2b2w/1b4b1/8/8 w,"(5, 5)",-50
bb6/2b1w3/1wwb1w2/4w2w/1b2b2w/1b4b1/8/8 b,"(7, 4)",-100,-1
b7/1w6/8/3b4/b6w/8/8/8 w,"(4, 4)",0
b7/1w6/8/3b4/b6w/8/8/8 b,"(5, 4)",0
b7/1w6/8/3bw3/b1b4w/8/8/8 w,"(3, 5)",0
b7/1w6/8/3bw3/b1b4w/8/8/8 b,"(3, 4)",0
b7/1w6/8/2wbw3/b1bb3w/8/8/8 w,"(4, 5)",50
b7/1w6/8/2wbw3/b1bb3w/8/8/8 b,"(4, 6)",50
b7/1w6/8/2wbw3/bbbb3w/3w4/8/8 w,"(2, 5)",100,1
6bb/3b1w2/w3b1bw/1ww4b/3w1wbb/bb6/1b2ww2/w1wb1b1w b,"(5, 6)",-100,-1
3w2b1/b2wb3/w3w1bb/1w4w1/2b1bw1w/bww1bw1b/3w2bb/bw3b2 b,"(4, 4)",-50
3w2b1/b2wb3/w3w1bb/1w1w2w1/2bbbw1w/bww1bw1b/3w2bb/bw3b2 w,"(4, 5)",50
3w2b1/b2wb3/w3w1bb/1w1w2w1/2bbbw1w/bww1bw1b/3w2bb/bw3b2 b,"(2, 5)",-50
3w2b1/b2wb3/w3w1bb/bw1w2w1/1wbbbw1w/bww1bw1b/3w2bb/bw3b2 w,"(1, 4)",-50
3w2b1/b2wb3/w3w1bb/bw1w2w1/1wbbbw1w/bww1bw1b/3w2bb/bw3b2 b,"(2, 3)",-100,-1
b3b1w1/1b1w1w1b/2b1w2w/4b1b1/b2w4/1b3ww1/w1ww2b1/3bb1bw b,"(2, 7)",-100,-1
6w1/8/8/b2w1b2/6b1/8/b1w5/8 b,"(3, 5)",0
6w1/8/8/b2wbb2/2w3b1/8/b1w5/8 w,"(5, 4)",0
6w1/8/8/b2wbb2/2w3b1/8/b1w5/8 b,"(4, 6)",0
6w1/8/4b3/b2wbb2/2w3b1/3w4/b1w5/8 w,"(5, 3)",50
6w1/8/4b3/b2wbb2/2w3b1/3w4/b1w5/8 b,"(4, 2)",50
6w1/3w4/4b3/b2wbb2/2w3b1/3w3b/b1w5/8 w,"(8, 6)",100,1
4b2b/7w/4w3/8/8/5w2/3b4/2b5 b,"(4, 4)",0
4b2b/7w/4w3/3w4/3b4/5w2/3b4/2b5 w,"(4, 5)",0
4b2b/7w/4w3/3w4/3b4/5w2/3b4/2b5 b,"(4, 3)",0
4b2b/7w/3ww3/2bw4/3b4/5w2/3b4/2b5 w,"(3, 4)",0
4b2b/7w/3ww3/2bw4/3b4/5w2/3b4/2b5 b,"(5, 6)",0
4b2b/7w/3ww3/2bw4/3bb3/4ww2/3b4/2b5 w,"(5, 5)",0
4b2b/7w/3ww3/2bw4/3bb3/4ww2/3b4/2b5 b,"(6, 5)",0
4b2b/7w/3ww3/2bwb3/3bbw2/4ww2/3b4/2b5 w,"(5, 4)",0
4b2b/7w/3ww3/2bwb3/3bbw2/4ww2/3b4/2b5 b,"(3, 5)",-50
4b2b/7w/3ww3/2bwb3/2wbbw2/1b2ww2/3b4/2b5 w,"(2, 6)",-50
4b2b/7w/3ww3/2bwb3/2wbbw2/1b2ww2/3b4/2b5 b,"(6, 2)",-100,-1
8/8/8/4b3/8/8/8/8 w,"(5, 4)",0
8/8/8/4b3/8/8/8/8 b,"(3, 4)",0
8/8/3b4/2w1b3/8/8/8/8 w,"(4, 3)",0
8/8/3b4/2w1b3/8/8/8/8 b,"(5, 5)",0
8/8/3b4/2w1b3/2b1w3/8/8/8 w,"(3, 5)",0
8/8/3b4/2w1b3/2b1w3/8/8/8 b,"(5, 6)",0
8/8/3b4/2w1b3/2bbw3/4w3/8/8 w,"(4, 5)",0
8/8/3b4/2w1b3/2bbw3/4w3/8/8 b,"(6, 5)",0
8/8/3b4/2wbb3/2bbww2/4w3/8/8 w,"(4, 4)",50
8/8/3b4/2wbb3/2bbww2/4w3/8/8 b,"(4, 2)",50
8/3w4/3b4/2wbb3/2bbww2/3bw3/8/8 w,"(4, 6)",100,1
1wb2wb1/3bwbb1/4bbww/3bw1bb/1wb2bww/4ww1w/b5w1/2b1bw2 w,"(4, 4)",100,1
wb3bbw/b3w1wb/b5bw/2w4b/bw2bb2/2w1b2b/4w1w1/w1wbwbw1 b,"(1, 4)",-50
wb3bbw/b3w1wb/b2b2bw/w1w4b/bw2bb2/2w1b2b/4w1w1/w1wbwbw1 w,"(4, 3)",50
wb3bbw/b3w1wb/b2b2bw/w1w4b/bw2bb2/2w1b2b/4w1w1/w1wbwbw1 b,"(4, 7)",-100,-1
1b5w/5w2/8/8/1b6/1b6/8/8 b,"(3, 4)",0
1b5w/5w2/8/2w5/1bb5/1b6/8/8 w,"(3, 5)",0
1b5w/5w2/8/2w5/1bb5/1b6/8/8 b,"(5, 4)",0
1b5w/5w2/8/2wbw3/1bb5/1b6/8/8 w,"(4, 4)",50
1b5w/5w2/8/2wbw3/1bb5/1b6/8/8 b,"(1, 7)",50
1b5w/5w2/4b3/2wbw3/1bb5/1b6/w7/8 w,"(5, 3)",100,1
5w1b/b6b/8/8/5w2/b7/8/w7 b,"(4, 5)",0
5w1b/b6b/8/2b5/3w1w2/b7/8/w7 w,"(3, 4)",0
5w1b/b6b/8/2b5/3w1w2/b7/8/w7 b,"(5, 4)",0
5w1b/b6b/8/2b1w3/2bw1w2/b7/8/w7 w,"(3, 5)",0
5w1b/b6b/8/2b1w3/2bw1w2/b7/8/w7 b,"(4, 4)",0
5w1b/b6b/4b3/2bww3/2bw1w2/b7/8/w7 w,"(5, 3)",0
5w1b/b6b/4b3/2bww3/2bw1w2/b7/8/w7 b,"(5, 5)",-50
5w1b/b6b/4b3/2bww3/2bwww2/b2b4/8/w7 w,"(4, 6)",-50
5w1b/b6b/4b3/2bww3/2bwww2/b2b4/8/w7 b,"(7, 5)",-100,-1
b7/5bb1/8/2wbwbw1/2bw4/8/6bw/1w6 w,"(4, 4)",50
b7/5bb1/8/2wbwbw1/2bw4/8/6bw/1w6 b,"(5, 6)",-50
b7/5bb1/1b6/2wbwbw1/2bw4/4w3/6bw/1w6 w,"(2, 3)",50
b7/5bb1/1b6/2wbwbw1/2bw4/4w3/6bw/1w6 b,"(5, 3)",-50
b7/5bb1/1b2w3/2wbwbw1/2bwb3/4w3/6bw/1w6 w,"(5, 5)",50
b7/5bb1/1b2w3/2wbwbw1/2bwb3/4w3/6bw/1w6 b,"(6, 6)",-50
b7/5bb1/1b2w3/2wbwbw1/2bwbb2/4ww2/6bw/1w6 w,"(6, 5)",50
b7/5bb1/1b2w3/2wbwbw1/2bwbb2/4ww2/6bw/1w6 b,"(6, 3)",-50
b7/5bb1/1b2ww2/2wbwbw1/2bwbb2/2b1ww2/6bw/1w6 w,"(3, 6)",-50
b7/5bb1/1b2ww2/2wbwbw1/2bwbb2/2b1ww2/6bw/1w6 b,"(6, 7)",-100,-1
b4w1b/2bw1bb1/1bbw3b/w3b2w/wbwbw3/1w2b1b1/ww1wwb1w/4bb1w b,"(1, 6)",-100,-1
3www1b/1w5b/b2w1wb1/2b1b2b/4wbw1/w3bb1w/7b/2w1b3 b,"(3, 1)",-100,-1
w2b4/b2ww3/2wb1w2/ww1bb1bw/b2b4/8/ww1wbb2/b3b3 w,"(1, 5)",50
w2b4/b2ww3/2wb1w2/ww1bb1bw/b2b4/8/ww1wbb2/b3b3 b,"(3, 7)",-100,-1
3w3b/2bw4/8/4w3/w3b3/b3b1b1/2b4w/7w w,"(5, 5)",0
3w3b/2bw4/8/4w3/w3b3/b3b1b1/2b4w/7w b,"(4, 4)",-50
3w3b/2bw4/8/2bww3/w3b3/b3b1b1/2b4w/7w w,"(3, 4)",-50
3w3b/2bw4/8/2bww3/w3b3/b3b1b1/2b4w/7w b,"(4, 3)",-100,-1
ww2wb2/2b4b/2ww3b/2bwb3/bw6/b1wb2b1/1w2b3/5w2 w,"(3, 4)",-50
ww2wb2/2b4b/2ww3b/2bwb3/bw6/b1wb2b1/1w2b3/5w2 b,"(2, 2)",-100,-1
w1w5/w7/3b4/8/2w1b2b/1bbw4/8/6b1 b,"(5, 4)",0
w1w5/w7/3b4/4w3/2w1b2b/1bbwb3/8/6b1 w,"(5, 6)",0
w1w5/w7/3b4/4w3/2w1b2b/1bbwb3/8/6b1 b,"(5, 3)",0
w1w5/w7/3bw3/4wb2/2w1b2b/1bbwb3/8/6b1 w,"(6, 4)",0
w1w5/w7/3bw3/4wb2/2w1b2b/1bbwb3/8/6b1 b,"(4, 4)",-50
w1w5/w7/3bw3/3wwb2/2w1bb1b/1bbwb3/8/6b1 w,"(6, 5)",50
w1w5/w7/3bw3/3wwb2/2w1bb1b/1bbwb3/8/6b1 b,"(6, 2)",-100,-1
b6b/1w6/1w1bbww1/b3b1bb/1w1w1w2/7w/b2b2b1/4w1w1 w,"(5, 4)",50
b6b/1w6/1w1bbww1/b3b1bb/1w1w1w2/7w/b2b2b1/4w1w1 b,"(2, 4)",-100,-1
w5w1/1b6/3bw1b1/2b5/1bw2w2/b7/3b2w1/5w1b w,"(3, 4)",100,1
3b4/8/8/2w4b/3b4/8/w7/8 w,"(4, 5)",0
3b4/8/8/2w4b/3b4/8/w7/8 b,"(5, 5)",0
3b4/8/8/2w1b2b/3bw3/8/w7/8 w,"(5, 4)",0
3b4/8/8/2w1b2b/3bw3/8/w7/8 b,"(4, 6)",0
3b4/8/4b3/2w1b2b/3bw3/3w4/w7/8 w,"(5, 3)",0
3b4/8/4b3/2w1b2b/3bw3/3w4/w7/8 b,"(5, 6)",0
3b4/8/4b3/2w1b2b/2bbw3/3ww3/w7/8 w,"(3, 5)",0
3b4/8/4b3/2w1b2b/2bbw3/3ww3/w7/8 b,"(6, 5)",0
3b4/8/4b3/2wbb2b/2bbww2/3ww3/w7/8 w,"(4, 4)",50
3b4/8/4b3/2wbb2b/2bbww2/3ww3/w7/8 b,"(2, 6)",-50
3b4/8/4b3/2wbb2b/2bbww2/1wbww3/w7/8 w,"(3, 6)",50
3b4/8/4b3/2wbb2b/2bbww2/1wbww3/w7/8 b,"(2, 7)",50
3b4/5b2/4b3/2wbb2b/2bbww2/1wbww3/ww6/8 w,"(6, 2)",100,1
1w2bb2/2ww4/4wb2/3wb2w/1b5b/bb4b1/1w3b1w/2w1w2b w,"(5, 4)",0
1w2bb2/2ww4/4wb2/3wb2w/1b5b/bb4b1/1w3b1w/2w1w2b b,"(4, 5)",-50
1w2bb2/2ww4/3bwb2/3wb2w/1b1w3b/bb4b1/1w3b1w/2w1w2b w,"(4, 3)",50
1w2bb2/2ww4/3bwb2/3wb2w/1b1w3b/bb4b1/1w3b1w/2w1w2b b,"(3, 4)",50
1w2bb2/2ww4/3bwb2/2wwb2w/1b1w1b1b/bb4b1/1w3b1w/2w1w2b w,"(6, 5)",100,1
2b1b2b/bbwwbww1/bb2w1b1/w4w2/2b1b3/2w2ww1/2b5/5w2 w,"(5, 2)",-50
2b1b2b/bbwwbww1/bb2w1b1/w4w2/2b1b3/2w2ww1/2b5/5w2 b,"(7, 5)",-100,-1
8/8/2b1w3/8/8/8/5b2/8 b,"(4, 5)",0
8/8/2b1w3/8/3wb3/8/5b2/8 w,"(5, 5)",0
8/8/2b1w3/8/3wb3/8/5b2/8 b,"(3, 4)",0
8/8/2b1w3/2wb4/3wb3/8/5b2/8 w,"(4, 4)",50
8/8/2b1w3/2wb4/3wb3/8/5b2/8 b,"(2, 2)",50
8/1w6/2b1w3/2wb4/3wb3/5b2/5b2/8 w,"(6, 6)",100,1
b7/2b4w/b1w3w1/2w5/2ww4/wwbb4/1bw2b1b/bb1b1w2 w,"(3, 2)",50
b7/2b4w/b1w3w1/2w5/2ww4/wwbb4/1bw2b1b/bb1b1w2 b,"(4, 4)",-50
b7/2b4w/b1w3w1/2ww4/2ww4/wwbb4/bbw2b1b/bb1b1w2 w,"(1, 7)",50
b7/2b4w/b1w3w1/2ww4/2ww4/wwbb4/bbw2b1b/bb1b1w2 b,"(3, 8)",-50
b7/2b4w/b1w3w1/2ww4/2ww4/wwbbb3/bbw2b1b/bbwb1w2 w,"(5, 6)",50
b7/2b4w/b1w3w1/2ww4/2ww4/wwbbb3/bbw2b1b/bbwb1w2 b,"(5, 3)",-100,-1
1bw5/bwb1b3/bww1bw1b/b1b1b1ww/bw1w1wbw/2b1b1bb/w7/ww2wb1w w,"(1, 4)",100,1
8/8/3b4/8/8/8/8/8 b,"(5, 4)",0
8/8/3b4/4w3/3b4/8/8/8 w,"(4, 5)",0
8/8/3b4/4w3/3b4/8/8/8 b,"(5, 5)",0
8/8/3b4/3bw3/3bw3/8/8/8 w,"(4, 4)",50
8/8/3b4/3bw3/3bw3/8/8/8 b,"(4, 2)",50
8/3w4/3b4/3bw3/3bw3/3b4/8/8 w,"(4, 6)",100,1
1w6/8/7w/8/3b3b/b3w3/4b3/8 b,"(3, 4)",0
1w6/8/3b3w/2w5/3b3b/b3w3/4b3/8 w,"(4, 3)",0
1w6/8/3b3w/2w5/3b3b/b3w3/4b3/8 b,"(5, 5)",0
1w6/8/3b3w/2wb4/3bw2b/b3w3/4b3/8 w,"(4, 4)",50
1w6/8/3b3w/2wb4/3bw2b/b3w3/4b3/8 b,"(4, 2)",50
1w6/3w4/3b3w/2wb4/3bw2b/b2bw3/4b3/8 w,"(4, 6)",100,1
3bw3/3b1b2/1b3w2/2w1wbwb/2w1w1ww/b5wb/5b1b/bb1w1bw1 b,"(5, 2)",-100,-1
8/7b/8/8/8/8/8/8 b,"(4, 5)",0
8/7b/8/3b4/3w4/8/8/8 w,"(4, 4)",0
8/7b/8/3b4/3w4/8/8/8 b,"(3, 5)",0
8/7b/3b4/3b4/2ww4/8/8/8 w,"(4, 3)",0
8/7b/3b4/3b4/2ww4/8/8/8 b,"(5, 4)",0
8/7b/3bb3/3bw3/2ww4/8/8/8 w,"(5, 3)",0
8/7b/3bb3/3bw3/2ww4/8/8/8 b,"(5, 5)",-50
8/7b/3bb3/3bw3/1bwww3/8/8/8 w,"(2, 5)",-50
8/7b/3bb3/3bw3/1bwww3/8/8/8 b,"(6, 5)",-100,-1
8/8/8/8/1b4b1/8/w7/1b3w2 b,"(5, 5)",0
8/8/8/2b5/1b2w1b1/8/w7/1b3w2 w,"(3, 4)",0
8/8/8/2b5/1b2w1b1/8/w7/1b3w2 b,"(3, 5)",0
8/8/3b4/2b5/1bw1w1b1/8/w7/1b3w2 w,"(4, 3)",50
8/8/3b4/2b5/1bw1w1b1/8/w7/1b3w2 b,"(1, 6)",50
8/4b3/3b4/2b5/1bw1w1b1/w7/w7/1b3w2 w,"(5, 2)",100,1
b3b3/3b4/1bww1wbw/6bb/1b3ww1/b2w3b/4bwb1/w2wwwb1 b,"(3, 8)",-100,-1
3wb2b/b4w1b/b4w2/7b/5bw1/5ww1/b3w3/8 b,"(4, 8)",-100,-1
2b5/b1b1w3/2wbb2b/1w6/4w3/b1w2bw1/1wwb1w2/7b b,"(4, 4)",-50
2b5/bbb1w3/2wbb2b/1w1w4/4w3/b1w2bw1/1wwb1w2/7b w,"(2, 2)",50
2b5/bbb1w3/2wbb2b/1w1w4/4w3/b1w2bw1/1wwb1w2/7b b,"(4, 2)",-50
2b5/bbbww3/2wbb2b/1w1w4/b3w3/b1w2bw1/1wwb1w2/7b w,"(1, 5)",-50
2b5/bbbww3/2wbb2b/1w1w4/b3w3/b1w2bw1/1wwb1w2/7b b,"(5, 1)",-100,-1
2b1w2b/1wwbb3/2b4w/1b1w1b2/bw1b1w2/1bw3w1/1wbb2w1/2w2b2 w,"(4, 2)",100,1
b7/8/b7/8/3b4/w1w2b2/wb4w1/5b1w b,"(3, 5)",0
b7/8/b7/3b4/2wb4/w1w2b2/wb4w1/5b1w w,"(4, 4)",0
b7/8/b7/3b4/2wb4/w1w2b2/wb4w1/5b1w b,"(3, 4)",-50
b7/8/b1b5/2wb4/2wb4/w1w2b2/wb4w1/5b1w w,"(3, 3)",50
b7/8/b1b5/2wb4/2wb4/w1w2b2/wb4w1/5b1w b,"(2, 2)",-50
b7/1w6/b1b5/2wb4/2wb4/w1w2b2/wbb3w1/5b1w w,"(3, 7)",50
b7/1w6/b1b5/2wb4/2wb4/w1w2b2/wbb3w1/5b1w b,"(4, 6)",-50
b7/1w6/b1b5/2wb4/2wb4/wbww1b2/wbb3w1/5b1w w,"(2, 6)",50
b7/1w6/b1b5/2wb4/2wb4/wbww1b2/wbb3w1/5b1w b,"(5, 4)",50
b7/1w6/b1b5/2wbw3/2wbb3/wbww1b2/wbb3w1/5b1w w,"(5, 5)",100,1
3b2b1/6b1/1w1b1wbb/3b4/6ww/6ww/8/4w1b1 b,"(4, 2)",-50
3b2b1/3w2b1/1w1b1wbb/3b4/6ww/6ww/5b2/4w1b1 w,"(6, 7)",50
3b2b1/3w2b1/1w1b1wbb/3b4/6ww/6ww/5b2/4w1b1 b,"(7, 4)",-50
3b2b1/3wb1b1/1w1b1wbb/3b2w1/6ww/6ww/5b2/4w1b1 w,"(5, 2)",-50
3b2b1/3wb1b1/1w1b1wbb/3b2w1/6ww/6ww/5b2/4w1b1 b,"(7, 7)",-100,-1
8/8/8/w7/2b5/2b5/8/1b2w3 b,"(5, 4)",0
8/8/8/w1b1w3/2b5/2b5/8/1b2w3 w,"(3, 4)",50
8/8/8/w1b1w3/2b5/2b5/8/1b2w3 b,"(3, 3)",50
8/8/2w5/w1b1w3/2b5/2b5/2b5/1b2w3 w,"(3, 7)",100,1
8/8/8/8/8/8/8/6b1 b,"(3, 4)",0
8/8/8/2w5/3b4/8/8/6b1 w,"(4, 5)",0
